Auction Date,Make,Model,Year,Kilometers,Miles,Mileage Notes,Sale_Status,Final Bid Price,VIN,Details,URL
11/1/22,MERCEDES-BENZ,CL-CLASS,2011,28968,18000,18k Miles,Sold,30250.0,WDDEJ9EB0BA026148,"Chassis: WDDEJ9EB0BA026148 ,18k Miles ,Twin-Turbocharged 4.7-Liter V8 ,Seven-Speed Automatic Transmission ,Diamond White Metallic Paint ,Tan Nappa Leather Upholstery ,Sport Package ,19"" AMG Wheels ,Bi-Xenon Headlamps w/Curve Illumination ,Glass Sunroof ,Parking Sensors ,Keyless Go ,Dynamic Front Seats w/Climate Control ,Dual-Zone Automatic Climate Control ,Night View Assist ,COMAND Infotainment w/Navigation ,Harman Kardon Sound System ,Power Rear Window Blind ,Clean Carfax Report",https://bringatrailer.com/listing/2011-mercedes-benz-cl550-4matic/
11/1/22,BMW,E39 5-SERIES,2000,133575,83000,83k Miles,Sold,15500.0,WBADN5349YGC94967,"Chassis: WBADN5349YGC94967 ,83k Miles ,4.4-Liter M62 V8 ,Six-Speed Manual Transmission ,Titanium Silver Metallic Paint ,Black Leather Upholstery ,17"" Style 32 Alloy Wheels ,Sport Package ,Xenon Headlights ,Heated Power-Adjustable Front Sport Seats ,Sunroof ,CD Stereo ,Automatic Climate Control ,Clean Carfax Report",https://bringatrailer.com/listing/2000-bmw-540i-64/
11/1/22,JEEP,CHEROKEE,2001,62764,39000,39k Miles,Sold,27527.0,1J4FF48S11L584604,"Chassis: 1J4FF48S11L584604 ,39k Miles ,4.0-Liter Inline-Six ,Four-Speed Automatic Transmission ,Dual-Range Transfer Case ,Metallic Orange Paint ,Patterned Gray Cloth Upholstery ,16"" Alloy Wheels ,Suspension Lift  ,Fog Lights ,Roof Crossbars ,Receiver Hitch ,Air Conditioning ,AM/FM/CD Cassette Stereo ,Clean Carfax Report",https://bringatrailer.com/listing/2001-jeep-cherokee-109/
11/1/22,BUICK,SPECIAL,1937,82076,51000,"51k Miles Shown, TMU ",Not Sold,13250.0,3156190,"Chassis: 3156190 ,51k Miles Shown, TMU  ,Replacement 248ci Straight-Eight  ,Three-Speed Manual Transmission  ,Black Paint  ,Tan Cloth Upholstery  ,Chrome Bumpers w/Overriders ,Dual Side-View Mirrors ,Driver-Side Spotlight ,Driving Lamps ,Turn Signals ,Clock  ,Heater ",https://bringatrailer.com/listing/1937-buick-series-40-2/
11/1/22,FORD,FALCON,1962,159324,99000,"99k Miles Shown, TMU",Sold,15250.0,2H26U171748,"Chassis: 2H26U171748 ,99k Miles Shown, TMU ,170ci Inline-Six ,Two-Speed Automatic Transmission ,Repaint in Blue ,Beige Upholstery ,Aftermarket Alloy Wheels ,Pioneer CD Stereo ,Roof Rack ,Tinted Windows",https://bringatrailer.com/listing/1961-ford-station-wagon-4/
11/1/22,GMC,PICKUP,1984,88513,55000,55k Miles Shown,Not Sold,11000.0,1GTDC14H7EJ524665,"Chassis: 1GTDC14H7EJ524665 ,55k Miles Shown ,5.0-Liter V8 ,Three-Speed Automatic Transmission ,Blue & Silver Paint ,Blue Upholstery ,15"" Rally Wheels ,Power Steering ,Power Brakes ,Auxiliary Fuel Tank ,Power Windows & Locks ,Pioneer Head Unit ,Air Conditioning ,Carfax Report",https://bringatrailer.com/listing/1984-gmc-c-1500-sierra-classic-11/
11/1/22,CADILLAC,ELDORADO,1968,14484,9000,"9k Miles Shown, TMU",Sold,7700.0,H8256564,"Chassis: H8256564 ,9k Miles Shown, TMU ,472ci V8 ,Three-Speed Automatic Transmission ,Silver Pine Green ,Dark Green Leather ,15"" Steel Wheels ,Black Vinyl Top ,Hide-Away Headlights ,Power-Adjustable Front Seats ,Automatic Climate Control ,Cadillac-Branded Floor Mats",https://bringatrailer.com/listing/1968-cadillac-eldorado-13/
11/1/22,TRIUMPH,SPITFIRE,1977,133575,83000,"83k Miles Shown, TMU",Sold,5700.0,MVIN382119IND,"Chassis: MVIN382119IND ,83k Miles Shown, TMU ,Replacement 1.5-Liter Inline-Four ,Four-Speed Manual Transmission ,Repainted in Red ,Beige Vinyl Upholstery ,Black Soft Top ,13"" Wheels ,KYB Shock Absorbers ,Twin SU Carburetors ,Electric Fuel Pump & Cooling Fan ,Headers & Pacesetter Monza Exhaust ,Electronic Ignition ,Hardtop w/Stand ,Spare Parts ,Manufacturer's Literature ,Refurbishment Photos",https://bringatrailer.com/listing/1976-triumph-spitfire-25/
11/1/22,ISUZU,ERA1990S,1993,58000,36039,58k Kilometers (~36k Miles) Shown,Not Sold,4300.0,J87RT2381P7520724,"Chassis: J87RT2381P7520724 ,58k Kilometers (~36k Miles) Shown ,1.8-Liter Inline-Four ,5-Speed Manual Transaxle ,Blue Paint ,Gray Patterned Cloth Upholstery ,15"" Alloy Wheels ,Lotus-Tuned Suspension ,Four-Wheel Disc Brakes ,Rear Hatch ,AM/FM Cassette Stereo ,Clean Carfax Report",https://bringatrailer.com/listing/1993-isuzu-sunfire/
11/1/22,MITSUBISHI,3000GT,1996,143231,89000,89k Miles Shown,Sold,17500.0,JA3AN74KXTY002546,"Chassis: JA3AN74KXTY002546 ,89k Miles Shown ,Twin-Turbocharged 3.0-Liter V6 ,6-Speed Manual Transaxle ,All-Wheel Drive ,Red Paint ,Black Leather Upholstery ,18"" Chrome-Finished Wheels ,Four-Wheel Steering ,Revised Turbochargers & Engine Tuning ,Aftermarket Intake, Exhaust, & Fuel Components ,Active Aerodynamic Bodywork ,Power-Operated Sunroof ,Cruise Control ,Eclipse Head Unit ,Manufacturer's Literature",https://bringatrailer.com/listing/1996-mitsubishi-3000gt-vr4-8/
